clean_feedback,valid_invalid,category,sentiment
student attend session,valid,academics,neutral
academic system includes coursework,valid,academics,neutral
faculty guide academic progress,valid,academics,neutral
subject covered fully,valid,academics,neutral
assignment part grading,valid,academics,neutral
exam scheduled semester wise,valid,academics,neutral
class include subject discussion,valid,academics,neutral
student engage learning,valid,academics,neutral
academic structure followed,valid,academics,neutral
faculty conduct lesson,valid,academics,neutral
subject divided across unit,valid,academics,neutral
assignment submitted regularly,valid,academics,neutral
exam conducted subject,valid,academics,neutral
class held per routine,valid,academics,neutral
student take part activity,valid,academics,neutral
academic work continuous,valid,academics,neutral
faculty support student learning,valid,academics,neutral
subject explained clearly,valid,academics,neutral
assignment part evaluation system,valid,academics,neutral
exam measure academic progress,valid,academics,neutral
class involve teaching method,valid,academics,neutral
student attend regularly,valid,academics,neutral
academic session include lecture,valid,academics,neutral
faculty conduct academic session,valid,academics,neutral
subject taught throughout semester,valid,academics,neutral
assignment collected review,valid,academics,neutral
exam conducted supervision,valid,academics,neutral
class organized efficiently,valid,academics,neutral
student complete assigned work,valid,academics,neutral
academic system follows structure,valid,academics,neutral
faculty provide instruction,valid,academics,neutral
subject explained class hour,valid,academics,neutral
assignment part student work,valid,academics,neutral
exam conducted sequence,valid,academics,neutral
class include lecture session,valid,academics,neutral
student follow academic rule,valid,academics,neutral
academic timetable maintained,valid,academics,neutral
faculty evaluate student answer,valid,academics,neutral
subject taught according syllabus,valid,academics,neutral
assignment part course requirement,valid,academics,neutral
exam conducted regularly,valid,academics,neutral
class involve teaching learning,valid,academics,neutral
student participate class activity,valid,academics,neutral
academic session structured,valid,academics,neutral
faculty conduct teaching session,valid,academics,neutral
subject explained detail,valid,academics,neutral
assignment given practice,valid,academics,neutral
exam part assessment system,valid,academics,neutral
class conducted planned,valid,academics,neutral
student follow academic guideline,valid,academics,neutral
academic process maintained,valid,academics,neutral
faculty guide coursework,valid,academics,neutral
subject part curriculum design,valid,academics,neutral
assignment submitted within time,valid,academics,neutral
exam conducted across subject,valid,academics,neutral
class include subject explanation,valid,academics,neutral
student attend lecture regularly,valid,academics,neutral
academic activity ongoing,valid,academics,neutral
faculty provide academic guidance,valid,academics,neutral
subject covered step step,valid,academics,neutral
assignment checked faculty,valid,academics,neutral
exam conducted properly,valid,academics,neutral
class involve structured teaching,valid,academics,neutral
student complete study task,valid,academics,neutral
academic system run throughout year,valid,academics,neutral
faculty monitor academic work,valid,academics,neutral
subject part regular study,valid,academics,neutral
assignment included grading,valid,academics,neutral
exam held per academic plan,valid,academics,neutral
class continue scheduled,valid,academics,neutral
academic lecture continue daily,valid,academics,neutral
student attend subject class,valid,academics,neutral
faculty conduct regular session,valid,academics,neutral
syllabus followed teaching,valid,academics,neutral
assignment given student,valid,academics,neutral
exam part academic,valid,academics,neutral
class conducted regularly,valid,academics,neutral
student complete academic task,valid,academics,neutral
faculty evaluate assignment,valid,academics,neutral
subject taught class,valid,academics,neutral
academic session follow timetable,valid,academics,neutral
student participate lecture,valid,academics,neutral
assignment part coursework,valid,academics,neutral
exam conducted semester wise,valid,academics,neutral
class part academic routine,valid,academics,neutral
administrative task handled daily,valid,administration,neutral
office staff manage student record,valid,administration,neutral
administrative process follow rule,valid,administration,neutral
staff handle documentation work,valid,administration,neutral
administrative office operates hour,valid,administration,neutral
record maintained office,valid,administration,neutral
staff assist administrative query,valid,administration,neutral
administrative procedure followed,valid,administration,neutral
office handle student request,valid,administration,neutral
administrative work done regularly,valid,administration,neutral
staff process form submitted,valid,administration,neutral
administrative system place,valid,administration,neutral
office staff maintain record,valid,administration,neutral
administrative work includes documentation,valid,administration,neutral
staff assist office operation,valid,administration,neutral
administrative service available,valid,administration,neutral
office handle official communication,valid,administration,neutral
administrative task follow guideline,valid,administration,neutral
staff manage student data,valid,administration,neutral
office process administrative request,valid,administration,neutral
administrative work continuous,valid,administration,neutral
staff maintain official record,valid,administration,neutral
administrative office handle operation,valid,administration,neutral
office staff assist student,valid,administration,neutral
administrative procedure implemented,valid,administration,neutral
staff handle office responsibility,valid,administration,neutral
administrative system run daily,valid,administration,neutral
office manages document,valid,administration,neutral
administrative work includes record keeping,valid,administration,neutral
staff process administrative data,valid,administration,neutral
office operation follow structure,valid,administration,neutral
administrative staff handle paperwork,valid,administration,neutral
office maintains student file,valid,administration,neutral
administrative service operate regularly,valid,administration,neutral
staff assist documentation,valid,administration,neutral
administrative task assigned,valid,administration,neutral
office process official form,valid,administration,neutral
administrative system manages data,valid,administration,neutral
staff coordinate administrative work,valid,administration,neutral
office staff handle daily task,valid,administration,neutral
administrative operation structured,valid,administration,neutral
office handle institutional record,valid,administration,neutral
staff assist office task,valid,administration,neutral
administrative procedure guide operation,valid,administration,neutral
office manages official information,valid,administration,neutral
administrative task involve documentation,valid,administration,neutral
staff ensure smooth office work,valid,administration,neutral
office maintains administrative record,valid,administration,neutral
administrative service follow policy,valid,administration,neutral
staff handle administrative duty,valid,administration,neutral
office process internal document,valid,administration,neutral
administrative system organizes data,valid,administration,neutral
staff manage office operation,valid,administration,neutral
office staff assist record keeping,valid,administration,neutral
administrative work includes handling form,valid,administration,neutral
staff maintain administrative workflow,valid,administration,neutral
office ensures documentation updated,valid,administration,neutral
administrative task managed efficiently,valid,administration,neutral
staff support office activity,valid,administration,neutral
office process student document,valid,administration,neutral
administrative system support operation,valid,administration,neutral
staff manage paperwork task,valid,administration,neutral
office staff handle communication task,valid,administration,neutral
administrative process maintained,valid,administration,neutral
staff assist administrative work,valid,administration,neutral
office handle daily administrative duty,valid,administration,neutral
administrative record updated regularly,valid,administration,neutral
staff ensure proper documentation,valid,administration,neutral
office operation ongoing,valid,administration,neutral
administrative task distributed,valid,administration,neutral
staff manage office file,valid,administration,neutral
office process institutional data,valid,administration,neutral
administrative system support staff,valid,administration,neutral
staff handle official paperwork,valid,administration,neutral
office ensures smooth operation,valid,administration,neutral
administrative task involve coordination,valid,administration,neutral
staff manage internal record,valid,administration,neutral
office staff assist operation,valid,administration,neutral
administrative system organizes workflow,valid,administration,neutral
staff process office document,valid,administration,neutral
office maintains administrative structure,valid,administration,neutral
administrative work includes coordination,valid,administration,neutral
staff assist official task,valid,administration,neutral
office handle administrative communication,valid,administration,neutral
administrative system run efficiently,valid,administration,neutral
staff maintain office record,valid,administration,neutral
office process paperwork regularly,valid,administration,neutral
administrative task routine,valid,administration,neutral
staff assist document processing,valid,administration,neutral
office manages administrative function,valid,administration,neutral
administrative system follows guideline,valid,administration,neutral
staff coordinate office duty,valid,administration,neutral
office staff manage record daily,valid,administration,neutral
administrative process followed properly,valid,administration,neutral
staff ensure record maintained,valid,administration,neutral
office handle administrative workflow,valid,administration,neutral
administrative task organized,valid,administration,neutral
staff assist daily operation,valid,administration,neutral
office maintains proper documentation,valid,administration,neutral
administrative service ongoing,valid,administration,neutral
administrative office work daily,valid,administration,neutral
staff handle office responsibility regularly,valid,administration,neutral
administrative system process request,valid,administration,neutral
office maintains official file,valid,administration,neutral
staff assist administrative query daily,valid,administration,neutral
administrative task include data handling,valid,administration,neutral
office process studentrelated form,valid,administration,neutral
staff manage documentation task,valid,administration,neutral
administrative procedure followed consistently,valid,administration,neutral
office ensures proper record maintenance,valid,administration,neutral
staff support administrative operation,valid,administration,neutral
administrative work involves coordination task,valid,administration,neutral
office handle daily paperwork efficiently,valid,administration,neutral
staff assist maintaining file,valid,administration,neutral
administrative system organizes office work,valid,administration,neutral
office process official communication,valid,administration,neutral
staff manage office activity,valid,administration,neutral
administrative work includes routine process,valid,administration,neutral
office staff maintain internal record,valid,administration,neutral
staff assist processing document,valid,administration,neutral
administrative task handled staff,valid,administration,neutral
office manages institutional data,valid,administration,neutral
staff coordinate administrative function,valid,administration,neutral
administrative procedure guide staff work,valid,administration,neutral
office handle administrative query,valid,administration,neutral
staff manage paperwork efficiently,valid,administration,neutral
administrative work support operation,valid,administration,neutral
office maintains documentation regularly,valid,administration,neutral
staff assist record keeping,valid,administration,neutral
administrative system handle office task,valid,administration,neutral
office process administrative form,valid,administration,neutral
staff manage internal office work,valid,administration,neutral
administrative procedure implemented daily,valid,administration,neutral
office handle communication task,valid,administration,neutral
staff assist documentation management,valid,administration,neutral
administrative system ensures workflow,valid,administration,neutral
office maintains institutional record properly,valid,administration,neutral
staff coordinate office documentation,valid,administration,neutral
administrative work includes managing file,valid,administration,neutral
office process internal data regularly,valid,administration,neutral
staff assist official record,valid,administration,neutral
administrative procedure ensure smooth work,valid,administration,neutral
office manages administrative responsibility,valid,administration,neutral
staff handle office documentation task,valid,administration,neutral
administrative system maintains record,valid,administration,neutral
office process paperwork daily,valid,administration,neutral
staff assist office coordination,valid,administration,neutral
administrative task involve handling information,valid,administration,neutral
office ensures proper file management,valid,administration,neutral
staff manage office communication,valid,administration,neutral
administrative procedure part routine,valid,administration,neutral
office handle institutional paperwork,valid,administration,neutral
staff assist administrative duty daily,valid,administration,neutral
administrative system support documentation,valid,administration,neutral
office process official record regularly,valid,administration,neutral
staff coordinate administrative task efficiently,valid,administration,neutral
administrative work includes managing office task,valid,administration,neutral
office maintains proper administrative flow,valid,administration,neutral
staff assist daily documentation,valid,administration,neutral
administrative procedure ensure proper workflow,valid,administration,neutral
office manages student documentation,valid,administration,neutral
staff handle administrative process daily,valid,administration,neutral
administrative system organizes record properly,valid,administration,neutral
office process paperwork sequence,valid,administration,neutral
staff assist internal office work,valid,administration,neutral
administrative task part office routine,valid,administration,neutral
office ensures record updated regularly,valid,administration,neutral
staff manage administrative responsibility effectively,valid,administration,neutral
administrative work support institutional operation,valid,administration,neutral
office process documentation efficiently,valid,administration,neutral
staff assist maintaining administrative file,valid,administration,neutral
administrative procedure followed office,valid,administration,neutral
office manages official task daily,valid,administration,neutral
staff coordinate office operation regularly,valid,administration,neutral
administrative system support office workflow,valid,administration,neutral
office handle administrative duty properly,valid,administration,neutral
staff assist processing institutional record,valid,administration,neutral
administrative task involve managing document,valid,administration,neutral
office maintains workflow structure,valid,administration,neutral
staff manage administrative coordination,valid,administration,neutral
administrative procedure guide office work daily,valid,administration,neutral
office ensures documentation maintained properly,valid,administration,neutral
staff assist administrative process,valid,administration,neutral
administrative system run throughout day,valid,administration,neutral
office handle administrative function,valid,administration,neutral
campus infrastructure includes classroom building,valid,facilities,neutral
college multiple academic block,valid,facilities,neutral
infrastructure support daily activity,valid,facilities,neutral
building used different department,valid,facilities,neutral
campus designated area class,valid,facilities,neutral
infrastructure includes lecture hall,valid,facilities,neutral
college provides physical facility,valid,facilities,neutral
building maintained usage,valid,facilities,neutral
infrastructure includes basic amenity,valid,facilities,neutral
campus structured layout,valid,facilities,neutral
building allocated department,valid,facilities,neutral
infrastructure includes corridor room,valid,facilities,neutral
college campus includes multiple floor,valid,facilities,neutral
building used academic purpose,valid,facilities,neutral
infrastructure support teaching environment,valid,facilities,neutral
campus includes common area,valid,facilities,neutral
building constructed institutional use,valid,facilities,neutral
infrastructure includes seating arrangement,valid,facilities,neutral
college indoor facility,valid,facilities,neutral
building designed functionality,valid,facilities,neutral
infrastructure includes hallway entrance,valid,facilities,neutral
campus organized building structure,valid,facilities,neutral
building accessible student,valid,facilities,neutral
infrastructure includes utility space,valid,facilities,neutral
college provides structured facility,valid,facilities,neutral
building maintained regularly,valid,facilities,neutral
infrastructure includes physical resource,valid,facilities,neutral
campus includes multiple infrastructure unit,valid,facilities,neutral
building serve academic administrative need,valid,facilities,neutral
infrastructure support institutional function,valid,facilities,neutral
campus designated infrastructure area,valid,facilities,neutral
building include classroom office,valid,facilities,neutral
infrastructure includes entry exit point,valid,facilities,neutral
college provides built environment facility,valid,facilities,neutral
building structured usage,valid,facilities,neutral
infrastructure includes academic space,valid,facilities,neutral
campus layout includes building open area,valid,facilities,neutral
building used educational activity,valid,facilities,neutral
infrastructure includes seating desk,valid,facilities,neutral
college campus includes physical structure,valid,facilities,neutral
building maintained student use,valid,facilities,neutral
infrastructure includes room hall,valid,facilities,neutral
campus defined infrastructure zone,valid,facilities,neutral
building arranged across campus,valid,facilities,neutral
infrastructure includes support facility,valid,facilities,neutral
college provides infrastructure learning,valid,facilities,neutral
building used multiple purpose,valid,facilities,neutral
infrastructure includes study space,valid,facilities,neutral
campus includes academic non academic area,valid,facilities,neutral
building accessible working hour,valid,facilities,neutral
infrastructure includes physical layout,valid,facilities,neutral
college campus includes building complex,valid,facilities,neutral
building part institutional setup,valid,facilities,neutral
infrastructure includes functional space,valid,facilities,neutral
campus organized infrastructure system,valid,facilities,neutral
building distributed across campus,valid,facilities,neutral
infrastructure includes essential facility,valid,facilities,neutral
college provides infrastructure resource,valid,facilities,neutral
building support academic operation,valid,facilities,neutral
infrastructure includes usable space,valid,facilities,neutral
campus layout structured systematically,valid,facilities,neutral
building designed educational need,valid,facilities,neutral
infrastructure includes structural facility,valid,facilities,neutral
college physical infrastructure system,valid,facilities,neutral
building include various functional area,valid,facilities,neutral
infrastructure includes accessible space,valid,facilities,neutral
campus maintained infrastructure unit,valid,facilities,neutral
building used daily operation,valid,facilities,neutral
infrastructure includes academic building,valid,facilities,neutral
college provides infrastructure support,valid,facilities,neutral
building part campus environment,valid,facilities,neutral
infrastructure includes classroom facility,valid,facilities,neutral
campus includes multiple building section,valid,facilities,neutral
building structured across campus,valid,facilities,neutral
infrastructure includes resource area,valid,facilities,neutral
college campus includes infrastructure planning,valid,facilities,neutral
building used institutional work,valid,facilities,neutral
infrastructure includes learning space,valid,facilities,neutral
campus layout includes structured building,valid,facilities,neutral
building maintained operational use,valid,facilities,neutral
infrastructure includes necessary amenity,valid,facilities,neutral
college provides infrastructure student,valid,facilities,neutral
building part campus facility,valid,facilities,neutral
infrastructure includes basic structural element,valid,facilities,neutral
campus includes infrastructure support system,valid,facilities,neutral
building organized within campus,valid,facilities,neutral
infrastructure includes indoor environment,valid,facilities,neutral
college campus structured infrastructure,valid,facilities,neutral
building available academic use,valid,facilities,neutral
infrastructure includes operational facility,valid,facilities,neutral
campus infrastructure activity,valid,facilities,neutral
building part institutional layout,valid,facilities,neutral
infrastructure includes essential structure,valid,facilities,neutral
college provides infrastructure environment,valid,facilities,neutral
building used student learning,valid,facilities,neutral
infrastructure includes facility area,valid,facilities,neutral
campus layout support infrastructure need,valid,facilities,neutral
building maintained daily use,valid,facilities,neutral
infrastructure includes campus structure,valid,facilities,neutral
college infrastructure support operation,valid,facilities,neutral
infrastructure includes campus building space,valid,facilities,neutral
college infrastructure academic use,valid,facilities,neutral
building part daily campus operation,valid,facilities,neutral
infrastructure includes structured facility,valid,facilities,neutral
campus provides infrastructure student staff,valid,facilities,neutral
building maintained institutional activity,valid,facilities,neutral
infrastructure includes classroom office area,valid,facilities,neutral
campus layout includes physical infrastructure,valid,facilities,neutral
building arranged across different zone,valid,facilities,neutral
infrastructure includes academic support space,valid,facilities,neutral
college facility part infrastructure,valid,facilities,neutral
building accessible college hour,valid,facilities,neutral
infrastructure includes structural component,valid,facilities,neutral
campus organized infrastructure facility,valid,facilities,neutral
building used teaching administration,valid,facilities,neutral
infrastructure includes operational area,valid,facilities,neutral
college infrastructure includes study space,valid,facilities,neutral
building maintained regularly usage,valid,facilities,neutral
infrastructure includes essential campus facility,valid,facilities,neutral
campus provides structured physical environment,valid,facilities,neutral
building part institutional infrastructure,valid,facilities,neutral
infrastructure includes common functional space,valid,facilities,neutral
college infrastructure support activity,valid,facilities,neutral
building used academic office work,valid,facilities,neutral
infrastructure includes usable campus area,valid,facilities,neutral
campus layout includes infrastructure element,valid,facilities,neutral
building structured student access,valid,facilities,neutral
infrastructure includes indoor outdoor facility,valid,facilities,neutral
college provides infrastructure operation,valid,facilities,neutral
building part organized campus layout,valid,facilities,neutral
infrastructure includes various campus unit,valid,facilities,neutral
campus includes infrastructure academic session,valid,facilities,neutral
building maintained per requirement,valid,facilities,neutral
infrastructure includes seating learning space,valid,facilities,neutral
college infrastructure includes multiple facility,valid,facilities,neutral
building distributed systematically,valid,facilities,neutral
infrastructure includes area student activity,valid,facilities,neutral
campus layout support infrastructure usage,valid,facilities,neutral
building part campus planning,valid,facilities,neutral
infrastructure includes essential campus resource,valid,facilities,neutral
college provides structured infrastructure system,valid,facilities,neutral
building used institutional function,valid,facilities,neutral
infrastructure includes organized physical space,valid,facilities,neutral
campus infrastructure academic operation,valid,facilities,neutral
building accessible daily use,valid,facilities,neutral
infrastructure includes functional learning area,valid,facilities,neutral
college campus includes structured facility,valid,facilities,neutral
building part educational environment,valid,facilities,neutral
infrastructure includes campus support system,valid,facilities,neutral
campus infrastructure student use,valid,facilities,neutral
building maintained regular operation,valid,facilities,neutral
infrastructure includes necessary campus structure,valid,facilities,neutral
college infrastructure includes multiple unit,valid,facilities,neutral
building arranged accessibility,valid,facilities,neutral
infrastructure includes designated campus area,valid,facilities,neutral
campus layout includes various facility,valid,facilities,neutral
building used different academic purpose,valid,facilities,neutral
infrastructure includes organized campus zone,valid,facilities,neutral
college provides infrastructure daily activity,valid,facilities,neutral
building part structured environment,valid,facilities,neutral
infrastructure includes physical campus layout,valid,facilities,neutral
campus infrastructure institutional work,valid,facilities,neutral
building maintained part campus facility,valid,facilities,neutral
infrastructure includes multiple facility area,valid,facilities,neutral
college campus includes infrastructure planning design,valid,facilities,neutral
building part campus operation,valid,facilities,neutral
infrastructure includes learning support facility,valid,facilities,neutral
campus layout includes structured infrastructure unit,valid,facilities,neutral
building used academic administrative task,valid,facilities,neutral
infrastructure includes campus functional area,valid,facilities,neutral
college provides infrastructure educational need,valid,facilities,neutral
building maintained effective use,valid,facilities,neutral
infrastructure includes structured campus space,valid,facilities,neutral
campus includes infrastructure student activity,valid,facilities,neutral
building part institutional framework,valid,facilities,neutral
infrastructure includes campus building system,valid,facilities,neutral
college infrastructure support daily operation,valid,facilities,neutral
building arranged within campus layout,valid,facilities,neutral
infrastructure includes organized facility system,valid,facilities,neutral
campus infrastructure academic non academic use,valid,facilities,neutral
building used structured learning environment,valid,facilities,neutral
infrastructure includes necessary institutional facility,valid,facilities,neutral
college campus includes infrastructure resource,valid,facilities,neutral
building part campus infrastructure system,valid,facilities,neutral
infrastructure support institutional workflow,valid,facilities,neutral
transport service available student,valid,facilities,neutral
college bus operate fixed route,valid,facilities,neutral
sport facility available campus,valid,facilities,neutral
maintenance staff handle campus upkeep,valid,facilities,neutral
facility include transportation service,valid,facilities,neutral
sport ground used activity,valid,facilities,neutral
maintenance work carried regularly,valid,facilities,neutral
transport facility used student,valid,facilities,neutral
facility include sport equipment,valid,facilities,neutral
campus maintenance managed staff,valid,facilities,neutral
transport bus run college hour,valid,facilities,neutral
sport area part campus facility,valid,facilities,neutral
maintenance ensures campus cleanliness,valid,facilities,neutral
facility include transport logistics,valid,facilities,neutral
sport facility support physical activity,valid,facilities,neutral
maintenance task handled daily,valid,facilities,neutral
transport service follow scheduled timing,valid,facilities,neutral
facility include playground area,valid,facilities,neutral
maintenance staff manage repair,valid,facilities,neutral
transport system support commuting,valid,facilities,neutral
sport infrastructure available use,valid,facilities,neutral
maintenance work includes equipment check,valid,facilities,neutral
facility include campus transport option,valid,facilities,neutral
sport ground maintained regularly,valid,facilities,neutral
maintenance staff ensure proper functioning,valid,facilities,neutral
transport service organized student,valid,facilities,neutral
facility include fitness sport area,valid,facilities,neutral
maintenance includes building repair,valid,facilities,neutral
transport facility operates daily,valid,facilities,neutral
sport equipment used activity,valid,facilities,neutral
maintenance ensures infrastructure upkeep,valid,facilities,neutral
facility include outdoor sport area,valid,facilities,neutral
transport service part campus facility,valid,facilities,neutral
sport activity conducted campus ground,valid,facilities,neutral
maintenance staff handle campus issue,valid,facilities,neutral
facility include commuting option,valid,facilities,neutral
sport facility used student regularly,valid,facilities,neutral
maintenance work ensures safety,valid,facilities,neutral
transport system includes bus route,valid,facilities,neutral
facility include recreation area,valid,facilities,neutral
maintenance includes infrastructure check,valid,facilities,neutral
transport service help student travel,valid,facilities,neutral
sport facility include court field,valid,facilities,neutral
maintenance work part campus operation,valid,facilities,neutral
facility include activity area,valid,facilities,neutral
transport provided commuting student,valid,facilities,neutral
sport ground used practice,valid,facilities,neutral
maintenance ensures proper environment,valid,facilities,neutral
facility include transport support system,valid,facilities,neutral
sport infrastructure includes court,valid,facilities,neutral
maintenance staff handle technical issue,valid,facilities,neutral
transport system operates schedule,valid,facilities,neutral
facility include student activity space,valid,facilities,neutral
sport area available game,valid,facilities,neutral
maintenance includes equipment servicing,valid,facilities,neutral
transport service support daily travel,valid,facilities,neutral
facility include indoor sport space,valid,facilities,neutral
maintenance ensures campus functionality,valid,facilities,neutral
transport bus used student,valid,facilities,neutral
sport facility include practice area,valid,facilities,neutral
maintenance staff manage repair regularly,valid,facilities,neutral
facility include campus support service,valid,facilities,neutral
transport system includes route management,valid,facilities,neutral
sport ground used event,valid,facilities,neutral
maintenance ensures smooth operation,valid,facilities,neutral
facility include infrastructure support,valid,facilities,neutral
transport service available daily,valid,facilities,neutral
sport facility support training activity,valid,facilities,neutral
maintenance staff monitor infrastructure,valid,facilities,neutral
facility include operational support area,valid,facilities,neutral
transport system part campus service,valid,facilities,neutral
sport equipment maintained regularly,valid,facilities,neutral
maintenance includes campus upkeep task,valid,facilities,neutral
facility include transportation logistics,valid,facilities,neutral
transport service follow assigned route,valid,facilities,neutral
sport area used student activity,valid,facilities,neutral
maintenance ensures proper facility use,valid,facilities,neutral
facility include sport transport system,valid,facilities,neutral
transport bus operate throughout day,valid,facilities,neutral
sport ground maintained use,valid,facilities,neutral
maintenance staff handle facility repair,valid,facilities,neutral
facility include campus service support,valid,facilities,neutral
transport service structured student,valid,facilities,neutral
sport infrastructure support activity,valid,facilities,neutral
maintenance includes checking campus system,valid,facilities,neutral
facility include student service area,valid,facilities,neutral
transport system support commuting need,valid,facilities,neutral
sport area include court playground,valid,facilities,neutral
maintenance ensures infrastructure stability,valid,facilities,neutral
facility include campus utility service,valid,facilities,neutral
transport service used regularly,valid,facilities,neutral
sport facility part student activity,valid,facilities,neutral
maintenance staff manage campus facility,valid,facilities,neutral
facility include support daily operation,valid,facilities,neutral
transport system operates across route,valid,facilities,neutral
sport ground used game practice,valid,facilities,neutral
maintenance ensures smooth campus functioning,valid,facilities,neutral
facility include operational infrastructure,valid,facilities,neutral
transport service maintained properly,valid,facilities,neutral
sport facility accessible student,valid,facilities,neutral
transport service part campus operation,valid,facilities,neutral
sport facility used regular activity,valid,facilities,neutral
maintenance staff handle campus upkeep daily,valid,facilities,neutral
facility include transport sport system,valid,facilities,neutral
transport bus operate scheduled route,valid,facilities,neutral
sport ground available student use,valid,facilities,neutral
maintenance work includes infrastructure repair,valid,facilities,neutral
facility support campus service,valid,facilities,neutral
transport system help daily commuting,valid,facilities,neutral
sport facility include court playground,valid,facilities,neutral
maintenance ensures facility functional,valid,facilities,neutral
facility include campus service unit,valid,facilities,neutral
transport service operate working hour,valid,facilities,neutral
sport area used training session,valid,facilities,neutral
maintenance staff manage infrastructure regularly,valid,facilities,neutral
facility include operational service,valid,facilities,neutral
transport system support student travel need,valid,facilities,neutral
sport ground maintained activity,valid,facilities,neutral
maintenance includes checking equipment,valid,facilities,neutral
facility include campus support infrastructure,valid,facilities,neutral
transport service run fixed timing,valid,facilities,neutral
sport facility support physical education,valid,facilities,neutral
maintenance staff ensure infrastructure upkeep,valid,facilities,neutral
facility include utility service area,valid,facilities,neutral
transport system operates efficiently,valid,facilities,neutral
sport area used college event,valid,facilities,neutral
maintenance work ensures safety standard,valid,facilities,neutral
facility include service support system,valid,facilities,neutral
transport service structured campus use,valid,facilities,neutral
sport ground accessible student,valid,facilities,neutral
maintenance staff handle facility issue,valid,facilities,neutral
facility include student support service,valid,facilities,neutral
transport system includes bus student,valid,facilities,neutral
sport facility used competition,valid,facilities,neutral
maintenance ensures smooth facility operation,valid,facilities,neutral
facility include campus operational system,valid,facilities,neutral
transport service support commuting system,valid,facilities,neutral
sport ground used regular practice,valid,facilities,neutral
maintenance staff ensure proper infrastructure,valid,facilities,neutral
facility include functional campus area,valid,facilities,neutral
transport system part campus facility,valid,facilities,neutral
sport infrastructure support game training,valid,facilities,neutral
maintenance includes routine check,valid,facilities,neutral
facility include campus management system,valid,facilities,neutral
transport service operate student convenience,valid,facilities,neutral
sport facility include activity zone,valid,facilities,neutral
maintenance staff manage campus repair,valid,facilities,neutral
facility include infrastructure support service,valid,facilities,neutral
transport system support daily commuting,valid,facilities,neutral
sport ground maintained properly,valid,facilities,neutral
maintenance ensures campus system function,valid,facilities,neutral
facility include operational service area,valid,facilities,neutral
transport service used student daily,valid,facilities,neutral
sport facility available training,valid,facilities,neutral
maintenance staff ensure smooth operation,valid,facilities,neutral
facility include campus activity infrastructure,valid,facilities,neutral
transport system includes regular route,valid,facilities,neutral
sport ground used student engagement,valid,facilities,neutral
maintenance work includes regular upkeep,valid,facilities,neutral
facility include service infrastructure,valid,facilities,neutral
transport service operate throughout day,valid,facilities,neutral
sport facility support event activity,valid,facilities,neutral
maintenance ensures proper campus functioning,valid,facilities,neutral
facility include infrastructure service,valid,facilities,neutral
transport system support institutional operation,valid,facilities,neutral
sport area part campus environment,valid,facilities,neutral
maintenance staff handle infrastructure issue,valid,facilities,neutral
facility include daily operational service,valid,facilities,neutral
transport service follow planned route,valid,facilities,neutral
sport facility include ground court,valid,facilities,neutral
maintenance ensures facility maintained,valid,facilities,neutral
facility include campus support unit,valid,facilities,neutral
transport system operates within campus schedule,valid,facilities,neutral
sport ground used multiple activity,valid,facilities,neutral
maintenance staff manage facility upkeep regularly,valid,facilities,neutral
facility include structured service system,valid,facilities,neutral
transport service support student movement,valid,facilities,neutral
sport facility part campus life,valid,facilities,neutral
maintenance ensures infrastructure reliability,valid,facilities,neutral
facility include campus management support,valid,facilities,neutral
transport system includes bus service,valid,facilities,neutral
sport ground used training game,valid,facilities,neutral
maintenance staff ensure proper facility condition,valid,facilities,neutral
facility include operational campus service,valid,facilities,neutral
transport service integrated campus system,valid,facilities,neutral
academic lecture conducted regularly,valid,academics,neutral
student attend class per schedule,valid,academics,neutral
assignment given semester,valid,academics,neutral
exam part academic process,valid,academics,neutral
faculty teach subject class,valid,academics,neutral
administrative staff handle office work,valid,administration,neutral
office process student request,valid,administration,neutral
administrative procedure followed,valid,administration,neutral
staff manage documentation task,valid,administration,neutral
record maintained office,valid,administration,neutral
facility include transport sport area,valid,facilities,neutral
transport service available student,valid,facilities,neutral
sport facility used regularly,valid,facilities,neutral
maintenance staff handle campus upkeep,valid,facilities,neutral
facility support student activity,valid,facilities,neutral
library provides study material,valid,library,neutral
student use library studying,valid,library,neutral
library seating arrangement,valid,library,neutral
library resource available,valid,library,neutral
library open working hour,valid,library,neutral
canteen serf food student,valid,canteen,neutral
student visit canteen break,valid,canteen,neutral
canteen operates daily,valid,canteen,neutral
food prepared canteen,valid,canteen,neutral
canteen provides snack meal,valid,canteen,neutral
website provides college information,valid,website,neutral
student access website update,valid,website,neutral
website used academic purpose,valid,website,neutral
academic lecture not clear,valid,academics,negative
student not satisfied teaching,valid,academics,negative
assignment not explained properly,valid,academics,negative
exam difficult manage,valid,academics,negative
faculty not explain topic well,valid,academics,negative
administrative staff respond slowly,valid,administration,negative
office process confusing,valid,administration,negative
administrative work delayed,valid,administration,negative
student face issue documentation,valid,administration,negative
office staff not guide properly,valid,administration,negative
facility not well maintained,valid,facilities,negative
transport service unreliable,valid,facilities,negative
sport facility not sufficient,valid,facilities,negative
maintenance work delayed,valid,facilities,negative
facility not meet student need,valid,facilities,negative
library not enough book,valid,library,negative
library seating insufficient,valid,library,negative
library too crowded,valid,library,negative
library resource limited,valid,library,negative
library environment not comfortable,valid,library,negative
canteen food quality poor,valid,canteen,negative
canteen overcrowded,valid,canteen,negative
food price high canteen,valid,canteen,negative
canteen service slow,valid,canteen,negative
hygiene not maintained canteen,valid,canteen,negative
